,scopus_id,title,publication_name,issn,isbn,eissn,volume,page_range,cover_date,doi,citation_count,affiliation,aggregation_type,subtype_description,authors,scopus
0,85125690641,The antagonistic activity of the synbiotic containing Lactobacillus acidophilus and pineapple residue FOS against pathogenic bacteria,Brazilian Journal of Biology,15196984,,16784375,84,,2024-01-01,10.1590/1519-6984.258277,1,"[{'name': 'University of Basrah', 'city': 'Basra', 'country': 'Iraq'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125690641&origin=inward
1,85151991322,"Physico-Chemical, Ultrasonic, and Structural Studies on Dextrin with a-Amylase in Aqueous Media At 298.15 K",Letters in Applied NanoBioScience,,,22846808,12,,2023-12-30,10.33263/LIANBS124.141,0,"[{'name': 'Thiru. Vi. Kalyanasundaram Govt Arts and Science College', 'city': 'Thiruvaur', 'country': 'India'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151991322&origin=inward
2,85152531667,The putative methyltransferase LaeA regulates mycelium growth and cellulase production in Myceliophthora thermophila,Biotechnology for Biofuels and Bioproducts,,,27313654,16,,2023-12-01,10.1186/s13068-023-02313-3,0,"[{'name': 'Tianjin Institute of Industrial Biotechnology', 'city': 'Tianjin', 'country': 'China'}, {'name': 'University of Chinese Academy of Sciences', 'city': 'Beijing', 'country': 'China'}, {'name': 'National Technology Innovation Center of Synthetic Biology', 'city': 'Tianjin', 'country': 'China'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152531667&origin=inward
3,85152273510,Chemical characterisation of sulfated polysaccharides from the red seaweed Centroceras clavulatum and their in vitro immunostimulatory and antioxidant properties,Food Hydrocolloids for Health,,,26670259,3,,2023-12-01,10.1016/j.fhfh.2023.100135,0,"[{'name': 'University of Huddersfield', 'city': 'Huddersfield', 'country': 'United Kingdom'}, {'name': 'University of Lagos', 'city': 'Lagos', 'country': 'Nigeria'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152273510&origin=inward
4,85151796914,Bioinformatic analysis of structures and encoding genes of Escherichia coli surface polysaccharides sheds light on the heterologous biosynthesis of glycans,BMC Genomics,,,14712164,24,,2023-12-01,10.1186/s12864-023-09269-6,0,"[{'name': 'Beijing Institute of Biotechnology', 'city': 'Beijing', 'country': 'China'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151796914&origin=inward
5,85151791122,Exploring body weight-influencing gut microbiota by elucidating the association with diet and host gene expression,Scientific Reports,,,20452322,13,,2023-12-01,10.1038/s41598-023-32411-z,0,"[{'name': 'RIKEN Center for Integrative Medical Sciences', 'city': 'Yokohama', 'country': 'Japan'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151791122&origin=inward
6,85151363442,Systematic pan-cancer analysis identifies SLC35C1 as an immunological and prognostic biomarker,Scientific Reports,,,20452322,13,,2023-12-01,10.1038/s41598-023-32375-0,0,"[{'name': 'Qingdao University', 'city': 'Qingdao', 'country': 'China'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151363442&origin=inward
7,85151328777,Green synthesis of glyco-CuInS<inf>2</inf> QDs with visible/NIR dual emission for 3D multicellular tumor spheroid and in vivo imaging,Journal of Nanobiotechnology,,,14773155,21,,2023-12-01,10.1186/s12951-023-01859-6,0,"[{'name': 'Northwest Normal University China', 'city': 'Lanzhou', 'country': 'China'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151328777&origin=inward
8,85151244681,Diffusion in intact secondary cell wall models of plants at different equilibrium moisture content,The Cell Surface,,,24682330,9,,2023-12-01,10.1016/j.tcsw.2023.100105,0,"[{'name': 'Michigan State University', 'city': 'East Lansing', 'country': 'United States'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151244681&origin=inward
9,85151109717,Early cellular events and potential regulators of cellulase induction in Penicillium janthinellum NCIM 1366,Scientific Reports,,,20452322,13,,2023-12-01,10.1038/s41598-023-32340-x,0,"[{'name': 'Academy of Scientific and Innovative Research (AcSIR)', 'city': 'Ghaziabad', 'country': 'India'}, {'name': 'National Institute for Interdisciplinary Science and Technology', 'city': 'Thiruvananthapuram', 'country': 'India'}]",Journal,Article,[],https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151109717&origin=inward
